SessionId	ItemId	Time
3	214716935	1396437466.94
3	214832672	1396438212.318
6	214701242	1396796300.848
6	214826623	1396796546.976
7	214826835	1396413533.104
7	214826715	1396413545.854
8	214838855	1396766998.728
8	214838855	1396767132.647
9	214576500	1396776384.127
9	214576500	1396776534.654
9	214576500	1396776553.479
11	214821275	1396514675.672
11	214821275	1396514701.674
11	214821371	1396514729.873
11	214821371	1396514772.162
11	214821371	1396514817.355
11	214717089	1396515202.572
11	214563337	1396515229.875
11	214706462	1396515319.267
11	214743335	1396515390.52
11	214826837	1396515439.331
11	214819762	1396515459.433
12	214717867	1396427413.176
12	214717867	1396427592.621
13	214836761	1396788613.638
13	214684513	1396788774.363
13	214836761	1396788798.268
14	214577732	1396339741.362
14	214587013	1396339874.773
14	214577732	1396339956.482
17	214826897	1396776854.289
17	214820441	1396776856.193
16	214684093	1396696081.626
16	214684093	1396696119.897
16	214684093	1396696853.092
18	214577732	1396322772.539
18	214577732	1396322792.156
23	214718203	1396590198.598
23	214718203	1396590544.634
23	214718203	1396590546.376
23	214718203	1396591008.356
22	214837485	1396740545.969
22	214837485	1396740636.821
22	214837485	1396740660.419
22	214837487	1396740711.443
22	214837487	1396740738.33
22	214821315	1396740918.266
22	214586711	1396740932.915
22	214821305	1396740992.105
22	214821307	1396741008.172
22	214844357	1396741028.202
22	214821341	1396741039.052
22	214821309	1396741050.7
22	214551617	1396741093.259
22	214551617	1396741298.028
22	214612920	1396741516.708
22	214837487	1396741671.889
24	214613743	1396730907.233
24	214613743	1396730908.756
24	214539110	1396730945.756
24	214539110	1396730946.722
26	214579288	1396795375.741
26	214714790	1396795498.482
26	214676070	1396795511.344
26	214601407	1396795579.569
29	214532036	1396453327.324
29	214700432	1396453644.821
28	214836789	1396704335.032
28	214836789	1396704431.668
31	214537967	1396334164.146
31	214537967	1396334297.758
33	214834865	1396800790.756
33	214571188	1396800827.162
33	214571188	1396800829.398
33	214571188	1396800829.925
33	214820225	1396800925.464
33	214820225	1396800925.792
33	214820225	1396800926.502
33	214820225	1396800955.366
33	214820225	1396800959.004
33	214820225	1396800959.531
33	214820225	1396800999.682
33	214820225	1396801013.065
33	214706441	1396801053.199
33	214706441	1396801070.144
33	214706441	1396801071.419
33	214706441	1396801072.049
39	214684721	1396380060.46
39	214680356	1396380104.551
36	214551594	1396807218.669
36	214586970	1396807290.08
37	214826769	1396621567.882
37	214537967	1396621603.356
42	214819745	1396795769.034
42	214819745	1396795872.544
43	214691587	1396677250.194
43	214587915	1396677358.886
41	214821277	1396766078.902
41	214821277	1396766080.247
41	214821277	1396766098.28
41	214821277	1396766200.343
41	214821277	1396766201.495
46	214716932	1396498018.17
46	214716932	1396498039.921
46	214716932	1396498090.956
46	214716932	1396501574.731
46	214716932	1396501589.704
46	214716932	1396501604.157
47	214712235	1396444037.566
47	214581489	1396444057.654
47	214602605	1396444087.492
51	214545935	1396368331.791
51	214819438	1396368404.207
51	214839907	1396368450.896
51	214835917	1396368538.886
54	214819468	1396330387.173
54	214716977	1396330828.688
54	214716977	1396330906.683
54	214716977	1396330914.239
54	214716977	1396330936.709
54	214716939	1396330996.726
52	214716982	1396458553.273
52	214716984	1396459727.335
59	214844248	1396808560.046
59	214844248	1396808561.522
58	214515834	1396428443.796
58	214515830	1396428509.638
57	214717318	1396378255.024
57	214717318	1396378554.817
56	214832557	1396535503.555
56	214559660	1396535599.319
56	214559660	1396535775.132
56	214819520	1396535776.62
63	214587797	1396693265.172
63	214835775	1396693265.212
62	214714794	1396791754.618
62	214601407	1396791780.299
62	214826619	1396791891.971
62	214746427	1396791944.613
